conc,ind,tx,A,B,total,grouping
0.1um,78,CX,3.75,1.4492753623188406,2.6,CX_0.1um
0.1um,78,DOX,98.85057471264368,97.72727272727273,98.3,DOX_0.1um
0.1um,78,VEH,1.5384615384615385,1.1764705882352942,1.4,VEH_0.1um
0.5um,78,CX,7.4074074074074066,15,11.2,CX_0.5um
0.5um,78,DOX,99.0909090909091,96.46017699115043,97.8,DOX_0.5um
0.5um,78,VEH,2.027027027027027,1.3157894736842104,1.7,VEH_0.5um
10um,78,CX,14.893617021276595,16.19718309859155,15.5,CX_10um
10um,78,DOX,5.952380952380952,6.521739130434782,6.2,DOX_10um
10um,78,VEH,3.296703296703297,0.8695652173913043,2.1,VEH_10um
1um,78,CX,5.681818181818182,0,2.8,CX_1um
1um,78,DOX,95.86776859504133,95.0413223140496,95.5,DOX_1um
1um,78,VEH,1.834862385321101,6.1946902654867255,4,VEH_1um
2.5um,78,CX,10.465116279069768,9.94475138121547,10.2,CX_2.5um
2.5um,78,DOX,79.41176470588235,83.44827586206897,81.4,DOX_2.5um
2.5um,78,VEH,5.194805194805195,9.75609756097561,7.5,VEH_2.5um
5um,78,CX,24.242424242424242,17.5,20.9,CX_5um
5um,78,DOX,17.333333333333336,21.182266009852217,19.3,DOX_5um
5um,78,VEH,1.762114537444934,4.72972972972973,3.2,VEH_5um
0.1um,87,CX,8.695652173913043,9.495548961424333,9.1,CX_0.1um
0.1um,87,DOX,89.83050847457628,96.57534246575342,93.2,DOX_0.1um
0.1um,87,VEH,6.535947712418301,6.159420289855073,6.3,VEH_0.1um
0.5um,87,CX,5.59610705596107,8.125,6.9,CX_0.5um
0.5um,87,DOX,98.67256637168141,98.82352941176471,98.7,DOX_0.5um
0.5um,87,VEH,12.949640287769784,5.106382978723404,9,VEH_0.5um
10um,87,CX,8.571428571428571,7.000000000000001,7.8,CX_10um
10um,87,DOX,43.829787234042556,13.846153846153847,28.8,DOX_10um
10um,87,VEH,7.567567567567568,0.49261083743842365,4,VEH_10um
1um,87,CX,15.555555555555555,12.121212121212121,13.8,CX_1um
1um,87,DOX,95.52238805970148,95.69377990430623,95.6,DOX_1um
1um,87,VEH,3.8834951456310676,4.705882352941177,4.3,VEH_1um
2.5um,87,CX,8,7.5829383886255926,7.8,CX_2.5um
2.5um,87,DOX,52.976190476190474,77.35849056603774,65.2,DOX_2.5um
2.5um,87,VEH,5.208333333333334,4.784688995215311,5,VEH_2.5um
5um,87,CX,7.916666666666666,11.328125,9.6,CX_5um
5um,87,DOX,18.439716312056735,27.480916030534353,23,DOX_5um
5um,87,VEH,2.185792349726776,3.5211267605633805,2.9,VEH_5um
0.1um,75,CX,1.0204081632653061,4.761904761904762,2.9,CX_0.1um
0.1um,75,DOX,96.82539682539682,63.06306306306306,79.9,DOX_0.1um
0.1um,75,VEH,7.216494845360824,8.620689655172415,7.9,VEH_0.1um
0.5um,75,CX,11.11111111111111,8.333333333333332,9.7,CX_0.5um
0.5um,75,DOX,98.21428571428571,96.92307692307692,97.6,DOX_0.5um
0.5um,75,VEH,4.195804195804196,0.6993006993006993,2.4,VEH_0.5um
10um,75,CX,1.2987012987012987,1.2195121951219512,1.3,CX_10um
10um,75,DOX,11.009174311926607,11.594202898550725,11.3,DOX_10um
10um,75,VEH,0,0,0,VEH_10um
1um,75,CX,4.191616766467066,7.547169811320755,5.9,CX_1um
1um,75,DOX,100,97.97979797979798,99,DOX_1um
1um,75,VEH,0.7299270072992701,14.14141414141414,7.4,VEH_1um
2.5um,75,CX,17.28395061728395,2.7777777777777777,10,CX_2.5um
2.5um,75,DOX,63.76811594202898,76.38190954773869,70.1,DOX_2.5um
2.5um,75,VEH,5.797101449275362,3.571428571428571,4.7,VEH_2.5um
5um,75,CX,1.4285714285714286,0,0.7,CX_5um
5um,75,DOX,23.96694214876033,21.27659574468085,22.6,DOX_5um
5um,75,VEH,3.0303030303030303,0.9900990099009901,2,VEH_5um
