time,conc,ind,tx,A,B,total,grouping
T24,0.1um,78,CX,2.127659574468085,2.8301886792452833,2.5,CX_T24
T24,0.1um,78,DOX,32.515337423312886,61.627906976744185,47.1,DOX_T24
T24,0.1um,78,VEH,0,0,0,VEH_T24
T24,0.5um,78,CX,4.27807486631016,1.680672268907563,3,CX_T24
T24,0.5um,78,DOX,100,100,100,DOX_T24
T24,0.5um,78,VEH,7.954545454545454,2.100840336134454,5,VEH_T24
T24,2.5um,78,CX,1.932367149758454,3.2432432432432434,2.6,CX_T24
T24,2.5um,78,DOX,97.5103734439834,100,98.8,DOX_T24
T24,2.5um,78,VEH,2.127659574468085,1.8181818181818181,2,VEH_T24
T3,0.1um,78,CX,0.9803921568627451,1.0380622837370241,1,CX_T3
T3,0.1um,78,DOX,30.612244897959183,45.794392523364486,38.2,DOX_T3
T3,0.1um,78,VEH,2.366863905325444,2.112676056338028,2.2,VEH_T3
T3,0.5um,78,CX,0.6134969325153374,2.083333333333333,1.3,CX_T3
T3,0.5um,78,DOX,98.46153846153847,97.85714285714285,98.2,DOX_T3
T3,0.5um,78,VEH,0,0.423728813559322,0.2,VEH_T3
T3,2.5um,78,CX,0,0,0,CX_T3
T3,2.5um,78,DOX,13.043478260869565,100,56.5,DOX_T3
T3,2.5um,78,VEH,0,0,0,VEH_T3
T48,0.1um,78,CX,0.8,1.3071895424836601,1.1,CX_T48
T48,0.1um,78,DOX,96,97.97297297297297,97,DOX_T48
T48,0.1um,78,VEH,1.2345679012345678,1.8518518518518516,1.5,VEH_T48
T48,0.5um,78,CX,0,0,0,CX_T48
T48,0.5um,78,DOX,95.25691699604744,97.2972972972973,96.3,DOX_T48
T48,0.5um,78,VEH,0.8849557522123894,0.7936507936507936,0.8,VEH_T48
T48,2.5um,78,CX,2.9197080291970803,0.625,1.8,CX_T48
T48,2.5um,78,DOX,75.24752475247524,52.58620689655172,63.9,DOX_T48
T48,2.5um,78,VEH,2.1739130434782608,0.4166666666666667,1.3,VEH_T48
T24,0.1um,87,CX,0,0.7462686567164178,0.4,CX_T24
T24,0.1um,87,DOX,80.31496062992126,78.57142857142857,79.4,DOX_T24
T24,0.1um,87,VEH,0,0.53475935828877,0.3,VEH_T24
T24,0.5um,87,CX,1.1627906976744187,9.770114942528735,5.5,CX_T24
T24,0.5um,87,DOX,97.63779527559055,99.38271604938271,98.5,DOX_T24
T24,0.5um,87,VEH,0,0,0,VEH_T24
T24,2.5um,87,CX,0,0.8888888888888888,0.4,CX_T24
T24,2.5um,87,DOX,31.05590062111801,40.707964601769916,35.9,DOX_T24
T24,2.5um,87,VEH,0,2.0080321285140563,1,VEH_T24
T3,0.1um,87,CX,9.90990990990991,0,5,CX_T3
T3,0.1um,87,DOX,9.090909090909092,71.5909090909091,40.3,DOX_T3
T3,0.1um,87,VEH,0,0,0,VEH_T3
T3,0.5um,87,CX,8.878504672897195,11.564625850340136,10.2,CX_T3
T3,0.5um,87,DOX,98.21428571428571,99.29078014184397,98.8,DOX_T3
T3,0.5um,87,VEH,0,0.5494505494505495,0.3,VEH_T3
T3,2.5um,87,CX,0,3.804347826086957,1.9,CX_T3
T3,2.5um,87,DOX,33.46456692913386,11.981566820276496,22.7,DOX_T3
T3,2.5um,87,VEH,0,0,0,VEH_T3
T48,0.1um,87,CX,2.690582959641256,7.228915662650602,5,CX_T48
T48,0.1um,87,DOX,86,97.85714285714285,91.9,DOX_T48
T48,0.1um,87,VEH,1.8867924528301887,1.36986301369863,1.6,VEH_T48
T48,0.5um,87,CX,3.1746031746031744,8.823529411764707,6,CX_T48
T48,0.5um,87,DOX,60.122699386503065,94.4954128440367,77.3,DOX_T48
T48,0.5um,87,VEH,0,3.3333333333333335,1.7,VEH_T48
T48,2.5um,87,CX,4.972375690607735,10.9375,8,CX_T48
T48,2.5um,87,DOX,68.64406779661016,80.32786885245902,74.5,DOX_T48
T48,2.5um,87,VEH,0,0.5076142131979695,0.3,VEH_T48
T24,0.1um,75,CX,0,1.3888888888888888,0.7,CX_T24
T24,0.1um,75,DOX,86.29032258064517,78.2051282051282,82.2,DOX_T24
T24,0.1um,75,VEH,0,0,0,VEH_T24
T24,0.5um,75,CX,4.225352112676056,0,2.1,CX_T24
T24,0.5um,75,DOX,90.990990990991,99.51690821256038,95.3,DOX_T24
T24,0.5um,75,VEH,1.282051282051282,0,0.6,VEH_T24
T24,2.5um,75,CX,0,0,0,CX_T24
T24,2.5um,75,DOX,16.49484536082474,100,58.2,DOX_T24
T24,2.5um,75,VEH,4.10958904109589,0,2.1,VEH_T24
T3,0.1um,75,CX,2.2222222222222223,1.7241379310344827,2,CX_T3
T3,0.1um,75,DOX,87.9746835443038,92.98245614035088,90.5,DOX_T3
T3,0.1um,75,VEH,0,1.0752688172043012,0.5,VEH_T3
T3,0.5um,75,CX,4.587155963302752,0.7042253521126761,2.6,CX_T3
T3,0.5um,75,DOX,100,100,100,DOX_T3
T3,0.5um,75,VEH,1.3157894736842104,0,0.7,VEH_T3
T3,2.5um,75,CX,1.9230769230769231,3.125,2.5,CX_T3
T3,2.5um,75,DOX,11.976047904191617,100,56,DOX_T3
T3,2.5um,75,VEH,1.1111111111111112,1.0309278350515463,1.1,VEH_T3
T48,0.1um,75,CX,0,0.6578947368421052,0.3,CX_T48
T48,0.1um,75,DOX,98.97435897435898,84.61538461538461,91.8,DOX_T48
T48,0.1um,75,VEH,0,0.8695652173913043,0.4,VEH_T48
T48,0.5um,75,CX,3.2520325203252036,5.208333333333334,4.2,CX_T48
T48,0.5um,75,DOX,100,100,100,DOX_T48
T48,0.5um,75,VEH,0,0,0,VEH_T48
T48,2.5um,75,CX,1.7241379310344827,7.6923076923076925,4.7,CX_T48
T48,2.5um,75,DOX,90.54054054054053,58.333333333333336,74.4,DOX_T48
T48,2.5um,75,VEH,0,1.2048192771084338,0.6,VEH_T48
