Well,tx,conc,plate,T0,T48,hr_norm
B2,CX,10,p1,133.05264790261302,0,0
B2,CX,10,p2,219.7597567411354,0,0
B3,CX,5,p1,113.28370938978057,0,0
B3,CX,5,p2,182.1953609931395,0,0
B4,CX,1,p1,102.8254632860355,0,0
B4,CX,1,p2,160.79461211770914,0,0
B5,CX,0.75,p1,96.98224393269753,0,0
B5,CX,0.75,p2,164.31281883748397,0,0
B6,CX,0.5,p1,86.99542529270373,0,0
B6,CX,0.5,p2,181.94406051315556,0,0
B7,CX,0.1,p1,106.09444056757384,86.48635272574299,81.51827019687988
B7,CX,0.1,p2,162.81506797677983,149.01644287564076,91.52497046335601
B8,CX,0.05,p1,105.45553229433202,107.12924698720644,101.58712839095345
B8,CX,0.05,p2,155.63792626843917,123.54506270287528,79.37979235844406
B9,DOX,10,p1,98.91757773125534,0,0
B9,DOX,10,p2,160.60362375292135,0,0
B10,DOX,10,p1,103.37132666511593,0,0
B10,DOX,10,p2,180.8986505164225,0,0
B11,DOX,0.1,p1,101.10103124757697,0,0
B11,DOX,0.1,p2,201.87721458547986,0,0
C2,CX,10,p1,116.1432891370086,0.3711860632006137,0.31959320763057053
C2,CX,10,p2,140.56994948860353,0,0
C3,CX,5,p1,109.57431960921144,0,0
C3,CX,5,p2,153.11486944940066,0,0
C4,CX,1,p1,108.82375746297588,0,0
C4,CX,1,p2,156.18073530520445,0,0
C5,CX,0.75,p1,104.07226486779871,0,0
C5,CX,0.75,p2,160.55336365692457,0,0
C6,CX,0.5,p1,97.83205396603861,0,0
C6,CX,0.5,p2,169.16794411077325,0,0
C7,CX,0.1,p1,115.324494068388,102.22959095295836,88.64516751518173
C7,CX,0.1,p2,175.33988389917826,174.52329850825691,99.5342842867451
C8,CX,0.05,p1,94.87322633170506,86.5457424958551,91.22251434062693
C8,CX,0.05,p2,168.4140426708215,140.60875889103713,83.48992557934615
C9,DOX,5,p1,109.16492207490114,0,0
C9,DOX,5,p2,173.36968813610434,0,0
C10,DOX,5,p1,104.38241451500349,0,0
C10,DOX,5,p2,130.39730605885458,0,0
C11,DOX,0.1,p1,115.3058850895557,0,0
C11,DOX,0.1,p2,96.0998165506496,0,0
D2,VEH,10,p1,126.75040707141196,120.6899111628022,95.21855901796415
D2,VEH,10,p2,134.40806171939786,150.74055022438228,112.15142030623248
D3,VEH,5,p1,113.42017523455068,132.24617059711466,116.59845377917304
D3,VEH,5,p2,139.68537179906014,178.98611135746847,128.13518627773217
D4,VEH,1,p1,100.01550748236023,120.1306574942466,120.1120311422047
D4,VEH,1,p2,126.2860302063177,176.56668499565427,139.81489853405907
D5,VEH,0.75,p1,95.98356206869815,117.04238944841751,121.94003527879802
D5,VEH,0.75,p2,127.24097203025657,161.1703354204729,126.66543869387313
D6,VEH,0.5,p1,94.55067069861208,114.58761228378411,121.19174981745122
D6,VEH,0.5,p2,147.9782876385294,170.75580467211807,115.39247236677583
D7,VEH,0.1,p1,102.60835853299217,116.84442354804385,113.87417674211629
D7,VEH,0.1,p2,144.5706531299475,176.68020646717633,122.21028448171091
D8,VEH,0.05,p1,88.93075909126154,117.31954170894063,131.92234375121691
D8,VEH,0.05,p2,132.67911441710854,165.79633538499743,124.9603874079058
D9,DOX,1,p1,90.0783127859192,0,0
D9,DOX,1,p2,123.45136079209911,0,0
D10,DOX,1,p1,102.63317050476854,0,0
D10,DOX,1,p2,125.04963184479682,0,0
D11,untx,0,p1,95.76025432271071,89.78743411447378,93.76273564593029
D11,untx,0,p2,88.56080215113211,84.07506607304397,94.93485157188044
E2,VEH,10,p1,116.51546871365434,112.16747915171612,96.26831560655373
E2,VEH,10,p2,138.6701178599251,181.99443035280345,131.24271700456873
E3,VEH,5,p1,108.78653950531132,116.41384771473113,107.01126099249385
E3,VEH,5,p2,119.2295127283693,188.72057754048637,158.28344276675256
E4,VEH,1,p1,122.00511746917888,121.86285912251616,99.88339968878874
E4,VEH,1,p2,99.12547432965597,153.30897351756923,154.66152828456413
E5,VEH,0.75,p1,114.74141273164302,124.69872064536884,108.6780419350544
E5,VEH,0.75,p2,108.30296785866862,160.73043971832485,148.40815805534723
E6,VEH,0.5,p1,103.18523687679306,110.16802355794215,106.76723424057919
E6,VEH,0.5,p2,101.40728268790993,167.93195806800645,165.60147714916314
E7,VEH,0.1,p1,92.50988602000464,126.79221004182028,137.05801130746428
E7,VEH,0.1,p2,122.91860377453321,173.58674636819978,141.22089011571103
E8,VEH,0.05,p1,95.78506629448708,120.68001286778352,125.990425790131
E8,VEH,0.05,p2,108.7452567034403,153.4721606328822,141.12998146798884
E9,DOX,0.5,p1,92.71458478715981,0,0
E9,DOX,0.5,p2,103.02565777900637,0,0
E10,DOX,0.5,p1,99.5068620609444,0,0
E10,DOX,0.5,p2,106.12167969240822,0,0
E11,untx,0,p1,104.23974567728929,110.21256588552622,105.72988754858237
E11,untx,0,p2,111.43919784886789,115.92493392695602,104.0252767111368
